dataset_label,frag_id,sample_id,frag_size_char,frag_size_num,sample_eff,sample_design,species,abundance
Aguiar_2012,F1,1,16,16,1,standardized_fragment,Euglossa cordata,61
Aguiar_2012,F1,1,16,16,1,standardized_fragment,Euglossa securigera,1
Aguiar_2012,F1,1,16,16,1,standardized_fragment,Eulaema atleticana,1
Aguiar_2012,F1,1,16,16,1,standardized_fragment,Eulaema cingulata,19
Aguiar_2012,F1,1,16,16,1,standardized_fragment,Eulaema nigrita,67
Aguiar_2012,F1,1,16,16,1,standardized_fragment,Exaerete smaragdina,10
Aguiar_2012,F2,1,5.5,5.5,1,standardized_fragment,Euglossa cordata,39
Aguiar_2012,F2,1,5.5,5.5,1,standardized_fragment,Euglossa securigera,2
Aguiar_2012,F2,1,5.5,5.5,1,standardized_fragment,Eulaema cingulata,7
Aguiar_2012,F2,1,5.5,5.5,1,standardized_fragment,Eulaema nigrita,76
Aguiar_2012,F2,1,5.5,5.5,1,standardized_fragment,Exaerete smaragdina,5
Aguiar_2012,F3,1,4,4,1,standardized_fragment,Euglossa cordata,72
Aguiar_2012,F3,1,4,4,1,standardized_fragment,Euglossa despacta,1
Aguiar_2012,F3,1,4,4,1,standardized_fragment,Euglossa fimbriata,9
Aguiar_2012,F3,1,4,4,1,standardized_fragment,Euglossa securigera,55
Aguiar_2012,F3,1,4,4,1,standardized_fragment,Eulaema cingulata,26
Aguiar_2012,F3,1,4,4,1,standardized_fragment,Eulaema nigrita,49
Aguiar_2012,F4,1,7.6,7.6,1,standardized_fragment,Euglossa cordata,72
Aguiar_2012,F4,1,7.6,7.6,1,standardized_fragment,Euglossa despacta,3
Aguiar_2012,F4,1,7.6,7.6,1,standardized_fragment,Euglossa fimbriata,36
Aguiar_2012,F4,1,7.6,7.6,1,standardized_fragment,Euglossa securigera,37
Aguiar_2012,F4,1,7.6,7.6,1,standardized_fragment,Eulaema cingulata,55
Aguiar_2012,F4,1,7.6,7.6,1,standardized_fragment,Eulaema nigrita,60
Aguiar_2012,F4,1,7.6,7.6,1,standardized_fragment,Exaerete smaragdina,1
Aguiar_2012,F5,1,2,2,1,standardized_fragment,Euglossa cordata,83
Aguiar_2012,F5,1,2,2,1,standardized_fragment,Euglossa despacta,3
Aguiar_2012,F5,1,2,2,1,standardized_fragment,Euglossa fimbriata,44
Aguiar_2012,F5,1,2,2,1,standardized_fragment,Euglossa securigera,76
Aguiar_2012,F5,1,2,2,1,standardized_fragment,Eulaema cingulata,26
Aguiar_2012,F5,1,2,2,1,standardized_fragment,Eulaema nigrita,82
Aguiar_2012,F5,1,2,2,1,standardized_fragment,Exaerete smaragdina,2
Aguiar_2012,F6,1,6.6,6.6,1,standardized_fragment,Euglossa cordata,93
Aguiar_2012,F6,1,6.6,6.6,1,standardized_fragment,Euglossa despacta,1
Aguiar_2012,F6,1,6.6,6.6,1,standardized_fragment,Euglossa fimbriata,18
Aguiar_2012,F6,1,6.6,6.6,1,standardized_fragment,Euglossa securigera,42
Aguiar_2012,F6,1,6.6,6.6,1,standardized_fragment,Eulaema cingulata,25
Aguiar_2012,F6,1,6.6,6.6,1,standardized_fragment,Eulaema nigrita,62
Aguiar_2012,F6,1,6.6,6.6,1,standardized_fragment,Exaerete smaragdina,2
Aguiar_2012,F7,1,14,14,1,standardized_fragment,Euglossa annectans,3
Aguiar_2012,F7,1,14,14,1,standardized_fragment,Euglossa cordata,3
Aguiar_2012,F7,1,14,14,1,standardized_fragment,Euglossa securigera,8
