dataset_label,frag_id,frag_size_char,frag_size_num,sample_design,N,N_std,S_obs,n_base,coverage,cov_base,S_std_mean,S_n_mean,S_PIE_mean,S_cov_mean,S_chao_mean,S_std_sd,S_n_sd,S_PIE_sd,S_cov_sd,S_chao_sd,exp_S_std_mean,exp_S_n_mean,exp_S_PIE_mean,exp_S_cov_mean,exp_S_chao_mean,exp_S_std_sd,exp_S_n_sd,exp_S_PIE_sd,exp_S_cov_sd,exp_S_chao_sd,z_S_std,z_S_n,z_S_PIE,z_S_cov,z_S_chao
Aguiar_2012,F5,2,2,standardized_fragment,316,316,7,136,1,0.9983189928560748,6.81,6.311668060169425,4.544717179322534,6.801115,6.879778481012658,0.3932853503935417,0.3523249353920812,0.14739228545440672,0.4648508722614287,0.47577583442238175,5.645,5.672409235689423,3.2068164341280605,5.663145,5.6895108695652175,0.47971411084176324,0.5118388752619625,0.3496825561333029,0.5298319577870536,0.5425046747151165,2.42852977152528,1.248945430635423,3.8260437122990223,2.147794188846127,2.1940227742230634
Aguiar_2012,F3,4,4,standardized_fragment,212,212,6,136,1,0.9983189928560748,5.625,5.4638795415425125,3.951198735435998,5.59311,5.62748820754717,0.48533778321813714,0.3754648372451082,0.19343443369045935,0.4835969582099847,0.48853508830550385,5.645,5.672409235689423,3.2068164341280605,5.663145,5.6895108695652175,0.47971411084176324,0.5118388752619625,0.3496825561333029,0.5298319577870536,0.5425046747151165,-0.04169149822360906,-0.40741277035704504,2.1287373025955882,-0.13218341961197408,-0.11432650244095505
Aguiar_2012,F2,5.5,5.5,standardized_fragment,129,129,5,136,1,0.9983189928560748,4.875,4.87908200522616,2.2775152648275294,4.889995,4.91468992248062,0.3315488246330816,0.3335378583152388,0.16730446804137103,0.374186346738396,0.38470621456961873,5.645,5.672409235689423,3.2068164341280605,5.663145,5.6895108695652175,0.47971411084176324,0.5118388752619625,0.3496825561333029,0.5298319577870536,0.5425046747151165,-1.6051226816089823,-1.5499550128099049,-2.657556555226824,-1.459236251488513,-1.4282290700840068
Aguiar_2012,F6,6.6,6.6,standardized_fragment,243,243,7,136,0.9959185050259731,0.9983189928560748,6.48,6.0972402705124855,3.894854317274013,6.548,6.6343621399176955,0.5755486785729207,0.4493966322976562,0.24698236471587323,0.7363496615878921,0.7686069101181837,5.645,5.672409235689423,3.2068164341280605,5.663145,5.6895108695652175,0.47971411084176324,0.5118388752619625,0.3496825561333029,0.5298319577870536,0.5425046747151165,1.7406200508357172,0.8300093161263523,1.9676071084417053,1.6700672486721435,1.7416463200960328
Aguiar_2012,F4,7.6,7.6,standardized_fragment,264,264,7,136,1,0.9983189928560748,6.545,6.181048822613837,4.824388348416044,6.555485,6.63216856060606,0.5379796562629147,0.4188614525252494,0.17717605844845935,0.6311458828210877,0.648156100825646,5.645,5.672409235689423,3.2068164341280605,5.663145,5.6895108695652175,0.47971411084176324,0.5118388752619625,0.3496825561333029,0.5298319577870536,0.5425046747151165,1.8761174200624486,0.9937494229294119,4.625829587196644,1.6841943693374628,1.7376028907692955
Aguiar_2012,F8,12,12,standardized_fragment,75,75,6,136,1,0.9983189928560748,5.58,5.639795537847133,3.6624963368907997,5.63087,5.656466666666667,0.514708289340261,0.5840568244657354,0.3704126515691912,0.602974230555144,0.61627504790748,5.645,5.672409235689423,3.2068164341280605,5.663145,5.6895108695652175,0.47971411084176324,0.5118388752619625,0.3496825561333029,0.5298319577870536,0.5425046747151165,-0.1354973692267313,-0.06371868066019289,1.303124490399312,-0.060915540343778246,-0.06091044822038277
Aguiar_2012,F7,14,14,standardized_fragment,68,68,5,136,1,0.9983189928560748,4.91,4.967507859260371,2.9405097259179627,4.95779,4.9765073529411765,0.2868999090082545,0.3586107982500111,0.3430225902359187,0.37262907567741005,0.37728045273543886,5.645,5.672409235689423,3.2068164341280605,5.663145,5.6895108695652175,0.47971411084176324,0.5118388752619625,0.3496825561333029,0.5298319577870536,0.5425046747151165,-1.5321625597176645,-1.3771938992876982,-0.7615670371288945,-1.3312805874263465,-1.3142808714016294
Aguiar_2012,F1,16,16,standardized_fragment,159,159,6,136,0.9875786163522012,0.9983189928560748,5.3,5.180588255531993,2.945084369622449,5.45639,5.521100628930817,0.6649895151627444,0.6073388130400735,0.16105539516463918,0.9019301847654034,0.9402409012339541,5.645,5.672409235689423,3.2068164341280605,5.663145,5.6895108695652175,0.47971411084176324,0.5118388752619625,0.3496825561333029,0.5298319577870536,0.5425046747151165,-0.7191783443572711,-0.9608902409097245,-0.7484847611495844,-0.3902274994199157,-0.3104309483099602
Aguiar_2012,F9,18,18,standardized_fragment,92,92,6,136,1,0.9983189928560748,5.645,5.672409235689423,3.2068164341280605,5.663145,5.6895108695652175,0.47971411084176324,0.5118388752619625,0.3496825561333029,0.5298319577870536,0.5425046747151165,5.645,5.672409235689423,3.2068164341280605,5.663145,5.6895108695652175,0.47971411084176324,0.5118388752619625,0.3496825561333029,0.5298319577870536,0.5425046747151165,0,0,0,0,0
Aizen_1994,small.fragment1,0.5,0.5,standardized_fragment,9,9,4,18,0.7037037037037037,0.8973512841141872,2.96,3.4046965869366628,2.406952047952048,3.085485,3.557777777777778,0.7689972587204703,1.2054490658983983,1.0034608769163635,1.2310012878255412,1.4378779574980798,11.025,6.91318930441138,6.338557565748936,8.42432,13.881717979987492,1.0845913699445928,0.5777613135162333,0.9025866302834106,1.097308678780746,3.645097400864144,-7.435980244257345,-6.072564284586941,-4.35593148168212,-4.865390298318014,-2.832281024853332
