"rep","patch_area","sigma","metric","value"
"1",5e-04,1,"N",150
"2",5e-04,1,"N",60
"3",5e-04,1,"N",67
"4",5e-04,1,"N",70
"5",5e-04,1,"N",152
"6",5e-04,1,"N",81
"7",5e-04,1,"N",181
"8",5e-04,1,"N",66
"9",5e-04,1,"N",161
"10",5e-04,1,"N",53
"11",5e-04,1,"N",175
"12",5e-04,1,"N",150
"13",5e-04,1,"N",69
"14",5e-04,1,"N",180
"15",5e-04,1,"N",149
"16",5e-04,1,"N",58
"17",5e-04,1,"N",148
"18",5e-04,1,"N",154
"19",5e-04,1,"N",181
"20",5e-04,1,"N",140
"21",5e-04,1,"N",168
"22",5e-04,1,"N",156
"23",5e-04,1,"N",99
"24",5e-04,1,"N",48
"25",5e-04,1,"N",86
"26",5e-04,1,"N",141
"27",5e-04,1,"N",81
"28",5e-04,1,"N",156
"29",5e-04,1,"N",77
"30",5e-04,1,"N",148
"31",5e-04,1,"N",129
"32",5e-04,1,"N",150
"33",5e-04,1,"N",118
"34",5e-04,1,"N",43
"35",5e-04,1,"N",65
"36",5e-04,1,"N",92
"37",5e-04,1,"N",175
"38",5e-04,1,"N",136
"39",5e-04,1,"N",58
"40",5e-04,1,"N",90
"41",5e-04,1,"N",45
"42",5e-04,1,"N",89
"43",5e-04,1,"N",143
"44",5e-04,1,"N",179
"45",5e-04,1,"N",182
"46",5e-04,1,"N",83
"47",5e-04,1,"N",60
"48",5e-04,1,"N",147
"49",5e-04,1,"N",36
"50",5e-04,1,"N",162
"51",5e-04,1,"N",120
"52",5e-04,1,"N",106
"53",5e-04,1,"N",82
"54",5e-04,1,"N",65
"55",5e-04,1,"N",69
"56",5e-04,1,"N",78
"57",5e-04,1,"N",70
"58",5e-04,1,"N",59
"59",5e-04,1,"N",65
"60",5e-04,1,"N",163
"61",5e-04,1,"N",113
"62",5e-04,1,"N",118
"63",5e-04,1,"N",53
"64",5e-04,1,"N",138
"65",5e-04,1,"N",61
"66",5e-04,1,"N",50
"67",5e-04,1,"N",133
"68",5e-04,1,"N",55
"69",5e-04,1,"N",89
"70",5e-04,1,"N",111
"71",5e-04,1,"N",80
"72",5e-04,1,"N",72
"73",5e-04,1,"N",70
"74",5e-04,1,"N",130
"75",5e-04,1,"N",141
"76",5e-04,1,"N",150
"77",5e-04,1,"N",59
"78",5e-04,1,"N",168
"79",5e-04,1,"N",147
"80",5e-04,1,"N",43
"81",5e-04,1,"N",111
"82",5e-04,1,"N",76
"83",5e-04,1,"N",61
"84",5e-04,1,"N",126
"85",5e-04,1,"N",63
"86",5e-04,1,"N",154
"87",5e-04,1,"N",74
"88",5e-04,1,"N",88
"89",5e-04,1,"N",121
"90",5e-04,1,"N",154
"91",5e-04,1,"N",155
"92",5e-04,1,"N",141
"93",5e-04,1,"N",141
"94",5e-04,1,"N",79
"95",5e-04,1,"N",155
"96",5e-04,1,"N",161
"97",5e-04,1,"N",55
"98",5e-04,1,"N",117
"99",5e-04,1,"N",163
"100",5e-04,1,"N",121
"101",5e-04,1,"N",81
"102",5e-04,1,"N",137
"103",5e-04,1,"N",64
"104",5e-04,1,"N",54
"105",5e-04,1,"N",86
"106",5e-04,1,"N",61
"107",5e-04,1,"N",54
"108",5e-04,1,"N",153
"109",5e-04,1,"N",44
"110",5e-04,1,"N",51
"111",5e-04,1,"N",54
"112",5e-04,1,"N",132
"113",5e-04,1,"N",60
"114",5e-04,1,"N",118
"115",5e-04,1,"N",126
"116",5e-04,1,"N",68
"117",5e-04,1,"N",171
"118",5e-04,1,"N",110
"119",5e-04,1,"N",91
"120",5e-04,1,"N",38
"121",5e-04,1,"N",58
"122",5e-04,1,"N",91
"123",5e-04,1,"N",105
"124",5e-04,1,"N",63
"125",5e-04,1,"N",163
"126",5e-04,1,"N",89
"127",5e-04,1,"N",135
"128",5e-04,1,"N",82
"129",5e-04,1,"N",116
"130",5e-04,1,"N",62
"131",5e-04,1,"N",150
"132",5e-04,1,"N",118
"133",5e-04,1,"N",130
"134",5e-04,1,"N",60
"135",5e-04,1,"N",70
"136",5e-04,1,"N",100
"137",5e-04,1,"N",131
"138",5e-04,1,"N",158
"139",5e-04,1,"N",63
"140",5e-04,1,"N",165
"141",5e-04,1,"N",170
"142",5e-04,1,"N",186
"143",5e-04,1,"N",156
"144",5e-04,1,"N",148
"145",5e-04,1,"N",65
"146",5e-04,1,"N",100
"147",5e-04,1,"N",57
"148",5e-04,1,"N",136
"149",5e-04,1,"N",73
"150",5e-04,1,"N",101
"151",5e-04,1,"N",67
"152",5e-04,1,"N",69
"153",5e-04,1,"N",51
"154",5e-04,1,"N",60
"155",5e-04,1,"N",98
"156",5e-04,1,"N",166
"157",5e-04,1,"N",158
"158",5e-04,1,"N",88
"159",5e-04,1,"N",85
"160",5e-04,1,"N",144
"161",5e-04,1,"N",61
"162",5e-04,1,"N",54
"163",5e-04,1,"N",57
"164",5e-04,1,"N",165
"165",5e-04,1,"N",156
"166",5e-04,1,"N",145
"167",5e-04,1,"N",148
"168",5e-04,1,"N",103
"169",5e-04,1,"N",144
"170",5e-04,1,"N",86
"171",5e-04,1,"N",64
"172",5e-04,1,"N",67
"173",5e-04,1,"N",110
"174",5e-04,1,"N",92
"175",5e-04,1,"N",141
"176",5e-04,1,"N",117
"177",5e-04,1,"N",104
"178",5e-04,1,"N",156
"179",5e-04,1,"N",142
"180",5e-04,1,"N",138
"181",5e-04,1,"N",157
"182",5e-04,1,"N",150
"183",5e-04,1,"N",134
"184",5e-04,1,"N",132
"185",5e-04,1,"N",151
"186",5e-04,1,"N",61
"187",5e-04,1,"N",72
"188",5e-04,1,"N",117
"189",5e-04,1,"N",84
"190",5e-04,1,"N",129
"191",5e-04,1,"N",98
"192",5e-04,1,"N",168
"193",5e-04,1,"N",42
"194",5e-04,1,"N",171
"195",5e-04,1,"N",47
"196",5e-04,1,"N",101
"197",5e-04,1,"N",105
"198",5e-04,1,"N",121
"199",5e-04,1,"N",56
"200",5e-04,1,"N",153
"1",0.005,1,"N",116
"2",0.005,1,"N",68
"3",0.005,1,"N",84
"4",0.005,1,"N",108
"5",0.005,1,"N",81
"6",0.005,1,"N",141
"7",0.005,1,"N",145
"8",0.005,1,"N",51
"9",0.005,1,"N",72
"10",0.005,1,"N",50
"11",0.005,1,"N",167
"12",0.005,1,"N",64
"13",0.005,1,"N",58
"14",0.005,1,"N",69
"15",0.005,1,"N",158
"16",0.005,1,"N",87
"17",0.005,1,"N",132
"18",0.005,1,"N",92
"19",0.005,1,"N",139
"20",0.005,1,"N",88
"21",0.005,1,"N",148
"22",0.005,1,"N",168
"23",0.005,1,"N",93
"24",0.005,1,"N",72
"25",0.005,1,"N",139
"26",0.005,1,"N",168
"27",0.005,1,"N",171
"28",0.005,1,"N",146
"29",0.005,1,"N",130
"30",0.005,1,"N",114
"31",0.005,1,"N",49
"32",0.005,1,"N",80
"33",0.005,1,"N",150
"34",0.005,1,"N",163
"35",0.005,1,"N",137
"36",0.005,1,"N",152
"37",0.005,1,"N",74
"38",0.005,1,"N",168
"39",0.005,1,"N",66
"40",0.005,1,"N",84
"41",0.005,1,"N",60
"42",0.005,1,"N",76
"43",0.005,1,"N",75
"44",0.005,1,"N",159
"45",0.005,1,"N",47
"46",0.005,1,"N",171
"47",0.005,1,"N",86
"48",0.005,1,"N",124
